Country,GDP,Inflation Rate,Unemployment Rate,Interest Rate,Exchange Rate,Stock Market Index,Labor Force Participation Rate,Government Debt,Trade Balance
Egypt,Pound,-5.16,26.36,5.49,3.9561,5900.1,32.0,Zloty,Rial
Greece,Euro,-0.38,3.6,0.56,1.8437,2848.0,1.33,Lempira,Krona
Portugal,Euro,7.54,13.71,13.77,8.9366,4378.93,11.14,Ruble,Ariary
Peru,Sol,3.66,3.36,15.77,8.4732,7165.59,77.93,Ruble,Real
United Kingdom,Pound,-3.93,5.98,12.08,4.8939,739.94,52.41,Ruble,Euro
Japan,Yen,8.54,7.19,0.46,9.9131,3755.21,9.45,Zloty,Yuan Renminbi
Indonesia,Rupiah,4.44,5.67,0.67,1.7471,8213.29,32.0,Ringgit,Ruble
China,Yuan Renminbi,-5.48,24.07,16.4,0.4588,8825.84,3.05,Peso,Dollar
United States,Dollar,3.73,26.58,16.2,6.6211,3926.29,40.68,Hryvnia,Tenge
Chile,Peso,5.87,9.07,2.93,7.6198,397.71,28.81,Peso,Koruna
Greece,Euro,6.92,22.95,14.33,0.1355,8201.33,6.98,Peso,Dollar
Slovenia,Euro,8.61,3.05,18.49,9.2486,7830.31,49.04,Yuan Renminbi,Yuan Renminbi
Indonesia,Rupiah,9.4,21.3,4.88,7.2033,4142.13,70.18,Zloty,Yuan Renminbi
Indonesia,Rupiah,8.02,1.46,13.17,4.8687,4755.89,60.39,Rupiah,Baht
Japan,Yen,-1.6,19.29,10.69,8.4623,6790.04,80.93,Rupiah,Euro
Philippines,Peso,6.05,13.37,6.9,1.3462,6143.69,30.2,Bolivar,Zloty
Indonesia,Rupiah,-7.11,12.94,4.12,5.3336,2381.39,51.86,Peso,Zloty
Madagascar,Ariary,4.72,26.61,6.16,6.73,2424.15,36.76,Yuan Renminbi,Sol
Mexico,Peso,5.52,18.69,3.04,6.0797,6592.27,82.32,Gourde,Euro
Thailand,Baht,-3.04,3.88,5.41,8.3809,8873.47,48.41,Peso,Kuna
Lebanon,Pound,6.66,6.64,2.51,8.7623,5703.48,6.02,Euro,Real
Sweden,Krona,-9.93,11.78,0.13,6.9206,6338.01,41.1,Pound,Baht
South Africa,Rand,-4.42,5.74,14.24,6.1685,5092.43,7.63,Dollar,Yen
France,Euro,1.43,8.49,4.43,7.7763,5126.66,72.15,Peso,Rupiah
Poland,Zloty,9.43,29.97,2.03,7.0883,3999.57,74.52,Zloty,Peso
Indonesia,Rupiah,3.77,4.09,7.13,3.2505,2315.8,97.87,Peso,Euro
Jordan,Dinar,8.07,25.68,18.1,0.0146,6630.27,31.11,Euro,Yuan Renminbi
China,Yuan Renminbi,-5.89,7.93,0.44,0.8005,9328.95,90.55,Rupiah,Dram
China,Yuan Renminbi,-0.71,0.64,2.7,6.4459,8120.81,65.82,Peso,Rupiah
China,Yuan Renminbi,-5.12,19.24,10.2,9.7384,282.19,31.38,Ruble,Dollar
Brazil,Real,-2.4,5.57,11.75,3.5406,1223.61,79.65,Zloty,Euro
Greece,Euro,0.81,25.37,15.75,3.3815,4587.9,53.7,Rupiah,Yuan Renminbi
Democratic Republic of the Congo,Franc,-2.93,23.33,3.69,4.7563,4214.74,34.58,Ruble,Real
Kosovo,Euro,7.33,21.72,6.93,1.1335,5232.7,23.82,Yuan Renminbi,Yuan Renminbi
Russia,Ruble,4.4,14.27,0.77,1.7172,1842.57,64.2,Riels,Lek
China,Yuan Renminbi,-8.15,20.7,18.65,8.4009,7764.83,60.52,Ruble,Yuan Renminbi
Indonesia,Rupiah,-2.1,4.12,12.88,2.0911,8482.46,38.59,Rupiah,Franc
